repository,created_at,updated_at,size,num_stars,num_forks
awslabs/autogluon,2019-07-29T18:51:24Z,2022-06-12T19:50:15Z,10610,4547,599
astorfi/TensorFlow-World,2017-03-24T22:19:05Z,2022-06-10T14:52:06Z,26388,4530,432
skorch-dev/skorch,2017-07-18T00:13:54Z,2022-06-11T02:13:19Z,11276,4529,312
MingchaoZhu/DeepLearning,2020-02-27T07:11:46Z,2022-06-12T16:37:18Z,33326,4527,1062
k4yt3x/video2x,2018-02-24T16:34:41Z,2022-06-12T17:21:09Z,11051,4522,506
gorgonia/gorgonia,2016-09-14T23:19:43Z,2022-06-11T14:30:52Z,92286,4521,384
sql-machine-learning/sqlflow,2018-10-04T06:00:50Z,2022-06-11T11:28:23Z,28961,4519,672
KevinMusgrave/pytorch-metric-learning,2019-10-23T17:20:35Z,2022-06-12T18:53:31Z,32246,4471,550
BinRoot/TensorFlow-Book,2016-03-06T23:30:57Z,2022-06-08T03:57:10Z,45766,4447,1237
alirezamika/autoscraper,2020-08-31T12:02:19Z,2022-06-12T15:53:41Z,106,4437,477
